category,pixels,Acreage,Percentage
0.0-0.05,1573344,24298823,1.27%
0.05-0.1,22849776,352893368,18.42%
0.1-0.15,37040976,572063148,29.86%
0.15-0.2,31308768,483534569,25.24%
0.2-0.25,18252864,281898372,14.72%
0.25-0.3,7752672,119732750,6.25%
0.3-0.35,2409264,37208823,1.94%
0.35-0.4,1215648,18774543,0.98%
0.4-0.45,847584,13090140,0.68%
0.45-0.5,349920,5404186,0.28%
0.5-0.55,134784,2081612,0.11%
0.55-0.6,129600,2001550,0.10%
0.6-0.65,114048,1761364,0.09%
> 0.65,58320,900697,0.05%
Total,124037568,1915643952,100.00%
