Title:,"Time Series, Area-Averaged of Daily mean precipitation rate (combined microwave-IR) estimate - Final Run (daily)"
User Start Date:,2018-01-01T00:00:00Z
User End Date:,2020-12-31T23:59:59Z
User Bounding Box:,"60.2343,25.4443,75.7031,38.1006"
Data Bounding Box:,"60.25,25.45,75.65,38.05"
URL to Reproduce Results:,"https://giovanni.gsfc.nasa.gov/giovanni/#service=ArAvTs&starttime=2018-01-01T00:00:00Z&endtime=2020-12-31T23:59:59Z&bbox=60.2343,25.4443,75.7031,38.1006&data=GPM_3IMERGDF_07_precipitation&portal=GIOVANNI&format=json"
Fill Value (mean_GPM_3IMERGDF_07_precipitation):, -9999.9

time, mean_GPM_3IMERGDF_07_precipitation
2018-01-01,0.00382788316
2018-01-02,0.0123925498
2018-01-03,0.21784468
2018-01-04,0.244789138
2018-01-05,0.0226093642
2018-01-06,0.0138655268
2018-01-07,0.0518756285
2018-01-08,0.0339669064
2018-01-09,0.0492380336
2018-01-10,0.0323276445
2018-01-11,0.0385709703
2018-01-12,0.0145712094
2018-01-13,0.0157558657
2018-01-14,0.014156566
2018-01-15,0.00750558497
2018-01-16,0.040518716
2018-01-17,0.0671090707
2018-01-18,0.0226111934
2018-01-19,0.0124334535
2018-01-20,0.0511811562
2018-01-21,0.243269145
2018-01-22,0.145371884
2018-01-23,0.370658994
2018-01-24,0.0203814209
2018-01-25,0.0337916538
2018-01-26,0.0292136464
2018-01-27,0.0567351319
2018-01-28,0.277380884
2018-01-29,0.50262326
2018-01-30,0.247509465
2018-01-31,0.400558025
2018-02-01,0.0595356189
2018-02-02,0.0488737002
2018-02-03,0.0542505868
2018-02-04,0.0257155932
2018-02-05,0.0274910163
2018-02-06,0.0210835636
2018-02-07,0.0183579028
2018-02-08,0.0389854014
2018-02-09,0.113780983
2018-02-10,0.307841688
2018-02-11,1.41993368
2018-02-12,1.48060632
2018-02-13,0.684734583
2018-02-14,1.53754938
2018-02-15,0.420260191
2018-02-16,0.0518135913
2018-02-17,0.0509578921
2018-02-18,0.109173223
2018-02-19,0.55606252
2018-02-20,1.40682006
2018-02-21,0.100309893
2018-02-22,0.128022835
2018-02-23,2.38438034
2018-02-24,0.963554442
2018-02-25,3.41103148
2018-02-26,3.39957619
2018-02-27,0.267738491
2018-02-28,1.80709887
2018-03-01,6.2978754
2018-03-02,1.96389532
2018-03-03,1.04983795
2018-03-04,0.403783292
2018-03-05,0.11982239
2018-03-06,0.37902987
2018-03-07,0.366639435
2018-03-08,1.81398404
2018-03-09,0.450707078
2018-03-10,0.902782261
2018-03-11,1.99898648
2018-03-12,2.94897223
2018-03-13,3.49444652
2018-03-14,0.947073102
2018-03-15,0.219667926
2018-03-16,0.0265015773
2018-03-17,0.17392686
2018-03-18,2.61465311
2018-03-19,3.15576816
2018-03-20,1.88759542
2018-03-21,0.37991631
2018-03-22,0.183683455
2018-03-23,0.468795031
2018-03-24,0.341263294
2018-03-25,0.0274170674
2018-03-26,0.297380358
2018-03-27,0.394939393
2018-03-28,0.0665073246
2018-03-29,0.08126311
2018-03-30,0.0392215289
2018-03-31,0.0523709357
2018-04-01,0.168690354
2018-04-02,1.01657331
2018-04-03,0.649503171
2018-04-04,1.04651034
2018-04-05,0.459000081
2018-04-06,0.41558364
2018-04-07,1.37149858
2018-04-08,4.23696852
2018-04-09,1.81394124
2018-04-10,1.55105126
2018-04-11,0.279433131
2018-04-12,0.183541968
2018-04-13,1.23400426
2018-04-14,1.73539031
2018-04-15,4.73482895
2018-04-16,2.86172867
2018-04-17,2.70173383
2018-04-18,1.51402855
2018-04-19,1.52882195
2018-04-20,1.89771438
2018-04-21,0.0337445326
2018-04-22,0.116664819
2018-04-23,0.133001447
2018-04-24,0.87819165
2018-04-25,0.196310923
2018-04-26,0.0871909186
2018-04-27,0.0753633529
2018-04-28,0.123462521
2018-04-29,0.219560966
2018-04-30,0.954183996
2018-05-01,1.5888716
2018-05-02,1.42826521
2018-05-03,0.369790018
2018-05-04,0.632012427
2018-05-05,1.64754117
2018-05-06,2.83328152
2018-05-07,1.70657551
2018-05-08,0.401632547
2018-05-09,0.0739298686
2018-05-10,0.604741275
2018-05-11,4.07840776
2018-05-12,5.01591825
2018-05-13,4.04728889
2018-05-14,3.72330117
2018-05-15,3.1206975
2018-05-16,1.62507117
2018-05-17,2.08249211
2018-05-18,1.59791529
2018-05-19,0.950140178
2018-05-20,0.356875628
2018-05-21,0.439238548
2018-05-22,0.204257146
2018-05-23,0.0760253742
2018-05-24,0.0518679321
2018-05-25,0.662397981
2018-05-26,0.209109887
2018-05-27,0.396706313
2018-05-28,0.221999139
2018-05-29,0.127603963
2018-05-30,0.110087261
2018-05-31,0.167361751
2018-06-01,0.0918537378
2018-06-02,0.054523699
2018-06-03,0.0335609093
2018-06-04,0.0374345258
2018-06-05,0.954074025
2018-06-06,0.0784574002
2018-06-07,0.0559418648
2018-06-08,0.405360758
2018-06-09,1.54265392
2018-06-10,0.498788357
2018-06-11,0.0746015161
2018-06-12,0.0262206048
2018-06-13,0.0245238207
2018-06-14,0.0543228574
2018-06-15,0.477197081
2018-06-16,0.627003312
2018-06-17,1.03852749
2018-06-18,0.652870417
2018-06-19,0.250101238
2018-06-20,0.636950791
2018-06-21,0.180194348
2018-06-22,0.744482219
2018-06-23,0.400612473
2018-06-24,0.619566083
2018-06-25,0.512408018
2018-06-26,2.09902835
2018-06-27,1.75755632
2018-06-28,2.83902717
2018-06-29,3.3219521
2018-06-30,0.95929122
2018-07-01,0.147611544
2018-07-02,1.19384646
2018-07-03,2.88162827
2018-07-04,1.95982981
2018-07-05,0.990112185
2018-07-06,0.167153835
2018-07-07,0.214862466
2018-07-08,0.120032422
2018-07-09,0.238088548
2018-07-10,0.649283886
2018-07-11,1.19411242
2018-07-12,2.36620641
2018-07-13,1.80309784
2018-07-14,0.856541753
2018-07-15,1.80309403
2018-07-16,4.56740904
2018-07-17,2.03660297
2018-07-18,2.09022713
2018-07-19,2.50848365
2018-07-20,1.57398593
2018-07-21,2.49770713
2018-07-22,2.50896168
2018-07-23,2.84387207
2018-07-24,1.63066864
2018-07-25,1.93358541
2018-07-26,1.43840587
2018-07-27,0.931637466
2018-07-28,1.12641883
2018-07-29,0.768738031
2018-07-30,0.144937709
2018-07-31,0.15097633
2018-08-01,0.210012436
2018-08-02,0.228380263
2018-08-03,0.0541834757
2018-08-04,0.0627398193
2018-08-05,0.370653123
2018-08-06,1.0475806
2018-08-07,1.47534657
2018-08-08,1.60964394
2018-08-09,1.1268748
2018-08-10,0.145864815
2018-08-11,0.29586792
2018-08-12,0.768334389
2018-08-13,0.992143273
2018-08-14,0.630767107
2018-08-15,0.641504645
2018-08-16,0.906412721
2018-08-17,1.6352849
2018-08-18,3.44136786
2018-08-19,0.282595694
2018-08-20,0.657270551
2018-08-21,1.13274634
2018-08-22,0.661417186
2018-08-23,0.630516529
2018-08-24,0.39286226
2018-08-25,0.409727693
2018-08-26,0.203835398
2018-08-27,0.124076553
2018-08-28,0.532750189
2018-08-29,0.784961522
2018-08-30,0.0608390942
2018-08-31,0.0745810568
2018-09-01,0.240269825
2018-09-02,0.465598404
2018-09-03,0.5164873
2018-09-04,0.253981352
2018-09-05,0.0756380633
2018-09-06,0.393892437
2018-09-07,0.722416878
2018-09-08,1.66836166
2018-09-09,0.353308022
2018-09-10,0.371189535
2018-09-11,0.123160176
