Title:,"Time Series, Area-Averaged of Soil moisture content (0 - 10cm underground) daily 0.01 deg. [FLDAS Model (daily)"
User Start Date:,2018-01-01T00:00:00Z
User End Date:,2020-12-31T23:59:59Z
User Bounding Box:,"60.2343,25.4443,75.7031,38.1006"
Data Bounding Box:,"60.235,25.445,75.695,38.095"
URL to Reproduce Results:,"https://giovanni.gsfc.nasa.gov/giovanni/#service=ArAvTs&starttime=2018-01-01T00:00:00Z&endtime=2020-12-31T23:59:59Z&bbox=60.2343,25.4443,75.7031,38.1006&data=FLDAS_NOAHMP001_G_CA_D_001_SoilMoi00_10cm_tavg&variableFacets=dataFieldMeasurement%3ASoil%20Moisture%3BdataProductPlatformInstrument%3AFLDAS%20Model%3BdataProductTimeInterval%3Adaily%3B&portal=GIOVANNI&format=json"
Fill Value (mean_FLDAS_NOAHMP001_G_CA_D_001_SoilMoi00_10cm_tavg):, -9999

time, mean_FLDAS_NOAHMP001_G_CA_D_001_SoilMoi00_10cm_tavg
2018-01-01,0.12714678
2018-01-02,0.126645312
2018-01-03,0.126408443
2018-01-04,0.127419323
2018-01-05,0.127400041
2018-01-06,0.126914576
2018-01-07,0.12676084
2018-01-08,0.127494663
2018-01-09,0.127733216
2018-01-10,0.127599955
2018-01-11,0.127146944
2018-01-12,0.126695827
2018-01-13,0.126251996
2018-01-14,0.125773832
2018-01-15,0.125369921
2018-01-16,0.12501663
2018-01-17,0.125012949
2018-01-18,0.124763802
2018-01-19,0.124442734
2018-01-20,0.124069959
2018-01-21,0.123917244
2018-01-22,0.125289619
2018-01-23,0.126591548
2018-01-24,0.126554444
2018-01-25,0.126035064
2018-01-26,0.12552391
2018-01-27,0.125151366
2018-01-28,0.1252729
2018-01-29,0.128022924
2018-01-30,0.129098013
2018-01-31,0.129604235
2018-02-01,0.130129859
2018-02-02,0.130496398
2018-02-03,0.130536005
2018-02-04,0.13022837
2018-02-05,0.129877448
2018-02-06,0.129526675
2018-02-07,0.129179239
2018-02-08,0.128855407
2018-02-09,0.13018994
2018-02-10,0.131752253
2018-02-11,0.138953581
2018-02-12,0.150979549
2018-02-13,0.15147692
2018-02-14,0.154344872
2018-02-15,0.155336425
2018-02-16,0.152887031
2018-02-17,0.150724337
2018-02-18,0.149061546
2018-02-19,0.148025468
2018-02-20,0.151112542
2018-02-21,0.150665224
2018-02-22,0.148191497
2018-02-23,0.154921785
2018-02-24,0.162353635
2018-02-25,0.167066947
2018-02-26,0.178514928
2018-02-27,0.173635557
2018-02-28,0.1753546
2018-03-01,0.186380386
2018-03-02,0.186815217
2018-03-03,0.18452169
2018-03-04,0.182164922
2018-03-05,0.177560806
2018-03-06,0.173523977
2018-03-07,0.170750007
2018-03-08,0.169571385
2018-03-09,0.168276489
2018-03-10,0.165812567
2018-03-11,0.165542737
2018-03-12,0.166211709
2018-03-13,0.170140669
2018-03-14,0.168826699
2018-03-15,0.165456429
2018-03-16,0.161692709
2018-03-17,0.158226967
2018-03-18,0.159777746
2018-03-19,0.165280625
2018-03-20,0.168354228
2018-03-21,0.166440651
2018-03-22,0.163024291
2018-03-23,0.160217538
2018-03-24,0.156610936
2018-03-25,0.152972192
2018-03-26,0.150070712
2018-03-27,0.148842677
2018-03-28,0.146215752
2018-03-29,0.143357977
2018-03-30,0.140510127
2018-03-31,0.13790752
2018-04-01,0.136437476
2018-04-02,0.135615498
2018-04-03,0.135181442
2018-04-04,0.134464726
2018-04-05,0.133527026
2018-04-06,0.134034395
2018-04-07,0.135341495
2018-04-08,0.142020136
2018-04-09,0.147496536
2018-04-10,0.152107149
2018-04-11,0.152430788
2018-04-12,0.148815572
2018-04-13,0.149447232
2018-04-14,0.151856899
2018-04-15,0.16043511
2018-04-16,0.167088047
2018-04-17,0.169427872
2018-04-18,0.170823172
2018-04-19,0.168962479
2018-04-20,0.170329735
2018-04-21,0.164551958
2018-04-22,0.159325927
2018-04-23,0.154805064
2018-04-24,0.152120784
2018-04-25,0.149555936
2018-04-26,0.145584285
2018-04-27,0.14194186
2018-04-28,0.138786539
2018-04-29,0.136166349
2018-04-30,0.134932876
2018-05-01,0.13565205
2018-05-02,0.136832029
2018-05-03,0.136591747
2018-05-04,0.134460643
2018-05-05,0.134857118
2018-05-06,0.138614923
2018-05-07,0.140926093
2018-05-08,0.140092626
2018-05-09,0.136711821
2018-05-10,0.133665711
2018-05-11,0.136987701
2018-05-12,0.145048857
2018-05-13,0.146058515
2018-05-14,0.148908794
2018-05-15,0.153575599
2018-05-16,0.150983542
2018-05-17,0.149021178
2018-05-18,0.149157658
2018-05-19,0.146952659
2018-05-20,0.142780215
2018-05-21,0.13920337
2018-05-22,0.13566193
2018-05-23,0.131952867
2018-05-24,0.128596038
2018-05-25,0.126426652
2018-05-26,0.124249205
2018-05-27,0.121666603
2018-05-28,0.120464176
2018-05-29,0.118209451
2018-05-30,0.11593245
2018-05-31,0.113954276
2018-06-01,0.11190363
2018-06-02,0.109882325
2018-06-03,0.1085556
2018-06-04,0.107289627
2018-06-05,0.106405623
2018-06-06,0.105249509
2018-06-07,0.103724517
2018-06-08,0.10271284
2018-06-09,0.106613621
2018-06-10,0.112267539
2018-06-11,0.112117127
2018-06-12,0.109076187
2018-06-13,0.106542014
2018-06-14,0.104595616
2018-06-15,0.104534149
2018-06-16,0.106918365
2018-06-17,0.110662989
2018-06-18,0.113263905
2018-06-19,0.11266654
2018-06-20,0.111064613
2018-06-21,0.108887166
2018-06-22,0.10819298
2018-06-23,0.107275568
2018-06-24,0.106413387
2018-06-25,0.104721896
2018-06-26,0.104615755
2018-06-27,0.114187479
2018-06-28,0.121241949
2018-06-29,0.130330041
2018-06-30,0.128810778
2018-07-01,0.123387828
2018-07-02,0.119456373
2018-07-03,0.119930468
2018-07-04,0.124885976
2018-07-05,0.126679197
2018-07-06,0.123368487
2018-07-07,0.118489712
2018-07-08,0.114179201
2018-07-09,0.110527918
2018-07-10,0.107688092
2018-07-11,0.106936716
2018-07-12,0.108969413
2018-07-13,0.113566712
2018-07-14,0.114570536
2018-07-15,0.115486607
2018-07-16,0.117729366
2018-07-17,0.121682927
2018-07-18,0.125585094
2018-07-19,0.125879973
2018-07-20,0.127843842
2018-07-21,0.126125261
2018-07-22,0.126469627
2018-07-23,0.126136631
2018-07-24,0.125536636
2018-07-25,0.122998111
2018-07-26,0.122277111
2018-07-27,0.121919535
2018-07-28,0.122136928
2018-07-29,0.121017665
2018-07-30,0.118011564
2018-07-31,0.114585236
2018-08-01,0.111752905
2018-08-02,0.109282807
2018-08-03,0.10648638
2018-08-04,0.103949338
2018-08-05,0.101928845
2018-08-06,0.101407908
2018-08-07,0.104972199
2018-08-08,0.111358926
2018-08-09,0.118534654
2018-08-10,0.117204487
2018-08-11,0.113574818
2018-08-12,0.111667372
2018-08-13,0.111873373
2018-08-14,0.111396179
2018-08-15,0.111318633
2018-08-16,0.115043543
2018-08-17,0.115150638
2018-08-18,0.116213508
2018-08-19,0.116401449
2018-08-20,0.113718204
2018-08-21,0.113075636
2018-08-22,0.113606639
2018-08-23,0.113585107
2018-08-24,0.111002177
2018-08-25,0.109056994
2018-08-26,0.108113915
2018-08-27,0.106492914
2018-08-28,0.104299597
2018-08-29,0.103104711
2018-08-30,0.101283491
2018-08-31,0.0995979682
2018-09-01,0.0988237485
2018-09-02,0.100064136
2018-09-03,0.10045141
2018-09-04,0.0999038592
