Title:,"Time Series, Area-Averaged of Soil temperature (0 - 10 cm underground) daily 0.01 deg. [FLDAS Model (daily)"
User Start Date:,2018-01-01T00:00:00Z
User End Date:,2020-12-31T23:59:59Z
User Bounding Box:,"60.2343,25.4443,75.7031,38.1006"
Data Bounding Box:,"60.235,25.445,75.695,38.095"
URL to Reproduce Results:,"https://giovanni.gsfc.nasa.gov/giovanni/#service=ArAvTs&starttime=2018-01-01T00:00:00Z&endtime=2020-12-31T23:59:59Z&bbox=60.2343,25.4443,75.7031,38.1006&data=FLDAS_NOAHMP001_G_CA_D_001_SoilTemp00_10cm_tavg&variableFacets=dataProductPlatformInstrument%3AFLDAS%20Model%3BdataProductTimeInterval%3Adaily%3B&dataKeyword=Land%20surface%20temperature&portal=GIOVANNI&format=json"
Fill Value (mean_FLDAS_NOAHMP001_G_CA_D_001_SoilTemp00_10cm_tavg):, -9999

time, mean_FLDAS_NOAHMP001_G_CA_D_001_SoilTemp00_10cm_tavg
2018-01-01,281.555847
2018-01-02,282.022217
2018-01-03,282.354431
2018-01-04,281.851471
2018-01-05,281.537781
2018-01-06,281.570068
2018-01-07,281.720886
2018-01-08,281.490906
2018-01-09,281.430115
2018-01-10,281.924011
2018-01-11,281.862549
2018-01-12,281.94519
2018-01-13,282.300934
2018-01-14,282.132935
2018-01-15,282.24588
2018-01-16,281.612915
2018-01-17,281.395874
2018-01-18,281.968445
2018-01-19,282.585571
2018-01-20,282.68985
2018-01-21,282.659912
2018-01-22,282.119629
2018-01-23,282.041626
2018-01-24,282.296143
2018-01-25,282.313141
2018-01-26,282.372589
2018-01-27,282.239471
2018-01-28,281.931519
2018-01-29,281.853119
2018-01-30,282.532959
2018-01-31,282.674774
2018-02-01,282.624512
2018-02-02,282.108124
2018-02-03,281.586731
2018-02-04,281.456512
2018-02-05,281.986786
2018-02-06,282.521484
2018-02-07,282.519714
2018-02-08,282.219604
2018-02-09,282.06134
2018-02-10,282.913116
2018-02-11,283.147339
2018-02-12,283.428497
2018-02-13,284.757141
2018-02-14,285.580872
2018-02-15,285.766235
2018-02-16,286.233826
2018-02-17,286.499542
2018-02-18,287.491577
2018-02-19,288.590302
2018-02-20,288.055573
2018-02-21,288.311432
2018-02-22,288.859833
2018-02-23,287.947205
2018-02-24,288.240112
2018-02-25,288.6828
2018-02-26,288.87204
2018-02-27,289.733093
2018-02-28,290.079071
2018-03-01,289.280457
2018-03-02,289.394684
2018-03-03,288.949738
2018-03-04,289.223999
2018-03-05,289.904388
2018-03-06,290.139069
2018-03-07,290.366699
2018-03-08,290.913483
2018-03-09,291.384033
2018-03-10,291.758942
2018-03-11,291.963104
2018-03-12,292.063202
2018-03-13,291.139343
2018-03-14,290.609253
2018-03-15,290.755829
2018-03-16,291.336334
2018-03-17,292.049438
2018-03-18,291.707214
2018-03-19,291.33017
2018-03-20,291.282135
2018-03-21,291.841339
2018-03-22,292.334503
2018-03-23,293.161163
2018-03-24,294.058105
2018-03-25,294.889954
2018-03-26,295.224335
2018-03-27,295.246002
2018-03-28,295.894379
2018-03-29,296.310059
2018-03-30,297.198029
2018-03-31,297.603058
2018-04-01,296.272644
2018-04-02,296.279694
2018-04-03,297.328613
2018-04-04,297.864624
2018-04-05,297.636993
2018-04-06,297.655853
2018-04-07,297.802765
2018-04-08,297.385406
2018-04-09,296.676636
2018-04-10,296.171906
2018-04-11,295.742889
2018-04-12,296.590698
2018-04-13,296.684631
2018-04-14,297.818512
2018-04-15,296.658478
2018-04-16,296.36087
2018-04-17,295.511566
2018-04-18,295.281799
2018-04-19,294.454651
2018-04-20,293.265808
2018-04-21,294.935425
2018-04-22,296.59729
2018-04-23,298.240906
2018-04-24,298.837616
2018-04-25,298.918915
2018-04-26,299.732269
2018-04-27,300.436127
2018-04-28,301.498779
2018-04-29,302.249664
2018-04-30,301.984741
2018-05-01,301.440979
2018-05-02,300.399567
2018-05-03,300.191284
2018-05-04,300.974335
2018-05-05,301.355194
2018-05-06,300.575806
2018-05-07,300.107666
2018-05-08,300.458466
2018-05-09,301.95816
2018-05-10,303.339539
2018-05-11,303.199799
2018-05-12,302.229462
2018-05-13,301.875366
2018-05-14,302.079041
2018-05-15,301.266968
2018-05-16,301.380524
2018-05-17,300.993622
2018-05-18,300.074249
2018-05-19,299.649231
2018-05-20,299.896393
2018-05-21,300.432373
2018-05-22,300.998444
2018-05-23,301.502686
2018-05-24,302.019073
2018-05-25,302.52597
2018-05-26,303.148346
2018-05-27,303.763153
2018-05-28,303.060333
2018-05-29,303.138275
2018-05-30,303.685699
2018-05-31,304.633514
2018-06-01,305.740631
2018-06-02,306.437347
2018-06-03,306.19809
2018-06-04,306.448029
2018-06-05,306.988525
2018-06-06,307.587677
2018-06-07,307.713531
2018-06-08,307.09848
2018-06-09,305.98056
2018-06-10,305.895294
2018-06-11,306.102966
2018-06-12,306.37384
2018-06-13,306.55661
2018-06-14,306.211945
2018-06-15,305.359802
2018-06-16,305.35321
2018-06-17,305.370819
2018-06-18,305.459747
2018-06-19,306.12793
2018-06-20,306.48822
2018-06-21,306.522644
2018-06-22,306.195129
2018-06-23,306.534302
2018-06-24,306.459076
2018-06-25,306.030426
2018-06-26,305.628235
2018-06-27,304.999817
2018-06-28,304.962097
2018-06-29,304.744171
2018-06-30,305.849213
2018-07-01,306.596954
2018-07-02,306.57605
2018-07-03,305.818878
2018-07-04,304.902863
2018-07-05,305.071777
2018-07-06,305.843719
2018-07-07,306.963531
2018-07-08,307.657104
2018-07-09,308.094513
2018-07-10,308.463257
2018-07-11,308.058899
2018-07-12,307.763885
2018-07-13,307.460754
2018-07-14,308.131653
2018-07-15,308.200073
2018-07-16,308.16449
2018-07-17,307.679321
2018-07-18,307.215027
2018-07-19,307.581299
2018-07-20,307.279114
2018-07-21,307.631653
2018-07-22,307.533142
2018-07-23,307.609558
2018-07-24,307.669067
2018-07-25,307.174713
2018-07-26,306.217377
2018-07-27,305.375366
2018-07-28,305.102509
2018-07-29,304.911896
2018-07-30,305.2229
2018-07-31,305.227783
2018-08-01,305.28833
2018-08-02,305.395142
2018-08-03,305.898499
2018-08-04,306.229645
2018-08-05,306.485626
2018-08-06,306.333069
2018-08-07,305.845551
2018-08-08,305.762024
2018-08-09,306.128082
2018-08-10,306.652924
2018-08-11,306.497223
2018-08-12,305.660522
2018-08-13,304.992889
2018-08-14,305.477142
2018-08-15,305.6828
2018-08-16,305.836914
2018-08-17,306.118225
2018-08-18,305.726624
2018-08-19,305.66861
2018-08-20,305.772552
2018-08-21,305.13913
2018-08-22,304.47345
2018-08-23,303.953003
2018-08-24,303.663849
2018-08-25,303.356476
2018-08-26,302.866302
2018-08-27,303.119812
2018-08-28,303.641479
2018-08-29,303.962769
2018-08-30,303.408661
2018-08-31,302.796112
2018-09-01,302.462219
2018-09-02,301.775116
2018-09-03,301.390442
2018-09-04,301.410309
2018-09-05,301.375336
2018-09-06,301.521851
2018-09-07,301.693512
2018-09-08,302.474182
2018-09-09,302.895294
2018-09-10,303.109528
2018-09-11,303.100708
2018-09-12,302.655243
2018-09-13,301.746368
2018-09-14,300.819672
2018-09-15,299.677521
2018-09-16,299.680511
2018-09-17,300.082794
2018-09-18,300.33136
2018-09-19,300.472626
2018-09-20,300.449493
2018-09-21,299.98764
2018-09-22,299.200806
2018-09-23,298.764008
2018-09-24,299.116882
2018-09-25,299.330353
