Title:,"Time Series, Area-Averaged of Surface radiative temperature daily 0.01 deg. [FLDAS Model (daily)"
User Start Date:,2018-01-01T00:00:00Z
User End Date:,2020-12-31T23:59:59Z
User Bounding Box:,"60.2343,25.4443,75.7031,38.1006"
Data Bounding Box:,"60.235,25.445,75.695,38.095"
URL to Reproduce Results:,"https://giovanni.gsfc.nasa.gov/giovanni/#service=ArAvTs&starttime=2018-01-01T00:00:00Z&endtime=2020-12-31T23:59:59Z&bbox=60.2343,25.4443,75.7031,38.1006&data=FLDAS_NOAHMP001_G_CA_D_001_RadT_tavg&variableFacets=dataProductPlatformInstrument%3AFLDAS%20Model%3BdataProductTimeInterval%3Adaily%3B&dataKeyword=Land%20surface%20temperature&portal=GIOVANNI&format=json"
Fill Value (mean_FLDAS_NOAHMP001_G_CA_D_001_RadT_tavg):, -9999

time, mean_FLDAS_NOAHMP001_G_CA_D_001_RadT_tavg
2018-01-01,278.919952
2018-01-02,279.939087
2018-01-03,280.502991
2018-01-04,279.509644
2018-01-05,278.721741
2018-01-06,278.690369
2018-01-07,279.183563
2018-01-08,278.96283
2018-01-09,279.111267
2018-01-10,279.525055
2018-01-11,279.264008
2018-01-12,279.562531
2018-01-13,280.339478
2018-01-14,279.763794
2018-01-15,280.176117
2018-01-16,279.781342
2018-01-17,279.223846
2018-01-18,280.000153
2018-01-19,280.479218
2018-01-20,280.631927
2018-01-21,280.837341
2018-01-22,279.889099
2018-01-23,279.818207
2018-01-24,280.352509
2018-01-25,280.450348
2018-01-26,280.512817
2018-01-27,280.665466
2018-01-28,280.516693
2018-01-29,279.797943
2018-01-30,279.954956
2018-01-31,280.566101
2018-02-01,279.342346
2018-02-02,278.841461
2018-02-03,277.769684
2018-02-04,277.955994
2018-02-05,279.386108
2018-02-06,280.064362
2018-02-07,280.108795
2018-02-08,279.682678
2018-02-09,280.028534
2018-02-10,281.565491
2018-02-11,281.634766
2018-02-12,281.824219
2018-02-13,283.853119
2018-02-14,285.012451
2018-02-15,284.591003
2018-02-16,284.480865
2018-02-17,284.465393
2018-02-18,286.317108
2018-02-19,288.090912
2018-02-20,287.472778
2018-02-21,287.210266
2018-02-22,287.968323
2018-02-23,287.147064
2018-02-24,287.601257
2018-02-25,288.340698
2018-02-26,288.65033
2018-02-27,289.277802
2018-02-28,289.812561
2018-03-01,288.885345
2018-03-02,288.921173
2018-03-03,287.470001
2018-03-04,287.83905
2018-03-05,288.566406
2018-03-06,288.886993
2018-03-07,289.467834
2018-03-08,290.537476
2018-03-09,291.004669
2018-03-10,291.183899
2018-03-11,291.74823
2018-03-12,292.105469
2018-03-13,290.798676
2018-03-14,289.649231
2018-03-15,289.593445
2018-03-16,289.928772
2018-03-17,291.183197
2018-03-18,291.212555
2018-03-19,290.619965
2018-03-20,290.463135
2018-03-21,291.198486
2018-03-22,291.841797
2018-03-23,292.881042
2018-03-24,293.575409
2018-03-25,294.716797
2018-03-26,295.385162
2018-03-27,295.340637
2018-03-28,295.735382
2018-03-29,296.224731
2018-03-30,297.278381
2018-03-31,297.856323
2018-04-01,296.228027
2018-04-02,296.550995
2018-04-03,297.61795
2018-04-04,297.930115
2018-04-05,297.609131
2018-04-06,297.774811
2018-04-07,298.184814
2018-04-08,297.842041
2018-04-09,296.762054
2018-04-10,295.968933
2018-04-11,294.909332
2018-04-12,296.060089
2018-04-13,296.18689
2018-04-14,298.013184
2018-04-15,296.52182
2018-04-16,296.248993
2018-04-17,295.190582
2018-04-18,294.923889
2018-04-19,293.805847
2018-04-20,291.802307
2018-04-21,294.242126
2018-04-22,296.268768
2018-04-23,298.460663
2018-04-24,299.155701
2018-04-25,299.276794
2018-04-26,299.962921
2018-04-27,300.749207
2018-04-28,301.877686
2018-04-29,302.685333
2018-04-30,302.347107
2018-05-01,301.659302
2018-05-02,300.398163
2018-05-03,299.973846
2018-05-04,300.887329
2018-05-05,301.565216
2018-05-06,300.514038
2018-05-07,299.772095
2018-05-08,300.078033
2018-05-09,302.215485
2018-05-10,303.963318
2018-05-11,303.597015
2018-05-12,302.286621
2018-05-13,301.923309
2018-05-14,302.267303
2018-05-15,301.109894
2018-05-16,301.279877
2018-05-17,300.89328
2018-05-18,299.684387
2018-05-19,299.127991
2018-05-20,299.37262
2018-05-21,300.221191
2018-05-22,300.819275
2018-05-23,301.306946
2018-05-24,301.923645
2018-05-25,302.649078
2018-05-26,303.289459
2018-05-27,304.131836
2018-05-28,303.080536
2018-05-29,303.195648
2018-05-30,303.834259
2018-05-31,305.054718
2018-06-01,306.306885
2018-06-02,307.096893
2018-06-03,306.661865
2018-06-04,306.975281
2018-06-05,307.491516
2018-06-06,308.142273
2018-06-07,308.27887
2018-06-08,307.454529
2018-06-09,305.894501
2018-06-10,305.968781
2018-06-11,306.239594
2018-06-12,306.550812
2018-06-13,306.870178
2018-06-14,306.474213
2018-06-15,305.157166
2018-06-16,305.270447
2018-06-17,305.389557
2018-06-18,305.467651
2018-06-19,306.475677
2018-06-20,306.759705
2018-06-21,306.680054
2018-06-22,306.277985
2018-06-23,306.77713
2018-06-24,306.573456
2018-06-25,306.020264
2018-06-26,305.561829
2018-06-27,304.85498
2018-06-28,305.004364
2018-06-29,304.807098
2018-06-30,306.212555
2018-07-01,307.05423
2018-07-02,306.857758
2018-07-03,305.789642
2018-07-04,304.688263
2018-07-05,304.969513
2018-07-06,305.982635
2018-07-07,307.354218
2018-07-08,308.123657
2018-07-09,308.606934
2018-07-10,308.99231
2018-07-11,308.319427
2018-07-12,307.924561
2018-07-13,307.592041
2018-07-14,308.585602
2018-07-15,308.562805
2018-07-16,308.502441
2018-07-17,307.831512
2018-07-18,307.296906
2018-07-19,307.812714
2018-07-20,307.422516
2018-07-21,307.869751
2018-07-22,307.804047
2018-07-23,307.89093
2018-07-24,307.834747
2018-07-25,307.201324
2018-07-26,305.968506
2018-07-27,305.004578
2018-07-28,304.77301
2018-07-29,304.617249
2018-07-30,305.065552
2018-07-31,305.066986
2018-08-01,305.231537
2018-08-02,305.349335
2018-08-03,305.928345
2018-08-04,306.308502
2018-08-05,306.677673
2018-08-06,306.439209
2018-08-07,305.753418
2018-08-08,305.766083
2018-08-09,306.194824
2018-08-10,306.848938
2018-08-11,306.649078
2018-08-12,305.314636
2018-08-13,304.704132
2018-08-14,305.398254
2018-08-15,305.662506
2018-08-16,305.837158
2018-08-17,306.116699
2018-08-18,305.523956
2018-08-19,305.555786
2018-08-20,305.804779
2018-08-21,304.818298
2018-08-22,304.024139
2018-08-23,303.534851
2018-08-24,303.234955
2018-08-25,302.917725
2018-08-26,302.256317
2018-08-27,302.705139
2018-08-28,303.48642
2018-08-29,303.799469
2018-08-30,302.875977
2018-08-31,302.235291
2018-09-01,301.981781
2018-09-02,301.042603
2018-09-03,300.670837
2018-09-04,300.80542
2018-09-05,300.803741
2018-09-06,301.058624
2018-09-07,301.319702
2018-09-08,302.351959
2018-09-09,302.83963
2018-09-10,303.030334
2018-09-11,302.882355
2018-09-12,302.332733
2018-09-13,301.189484
2018-09-14,299.997803
2018-09-15,298.447266
2018-09-16,298.683533
2018-09-17,299.343109
2018-09-18,299.826599
2018-09-19,299.97821
2018-09-20,299.973053
2018-09-21,299.387024
2018-09-22,298.428406
2018-09-23,298.011475
2018-09-24,298.533203
2018-09-25,298.886261
2018-09-26,298.992401
2018-09-27,298.638275
2018-09-28,297.853851
