record_id,region_name,location_name,country,latitude,longitude,elevation_m,month,year,inundated_area_km2,total_floodplain_area_km2,inundation_fraction,flood_duration_days,water_depth_cm,river_stage_m,rainfall_mm,flood_frequency_class,wetland_habitat_type,vegetation_type,seasonal_flooding,permanent_water_present,suitable_for_rice,suitable_for_wetland_crops,suitable_for_trees,flood_adapted_plants_recommended
1,Pantanal,Location_0001,Brazil,-20.8868,-55.4012,133,Dec,1986,115220,140000,0.823,25,259,11.85,304,Permanent,Swamp,Palm_Swamp,No,Yes,No,No,No,Aquatic_Plants_Only
2,Llanos_Orinoco,Location_0002,Venezuela,9.9116,-69.9937,147,Apr,1984,21508,40000,0.538,24,72,9.96,153,Annual,Open_Water,Aquatic,Yes,No,Yes,Yes,Marginal,Aquatic_Plants_Only
3,Bananal,Location_0003,Brazil,-10.0529,-50.8827,92,Mar,1980,7841,20000,0.392,15,137,9.03,379,Frequent,Swamp,Aquatic,Yes,No,Yes,Marginal,Marginal,Flood_Tolerant_Species
4,Bananal,Location_0004,Brazil,-13.4189,-50.5799,66,Feb,1981,9991,20000,0.5,26,61,1.51,178,Frequent,Floodplain_Forest,Grassland,Yes,No,Yes,Yes,Yes,Flood_Tolerant_Species
5,Llanos_de_Mojos,Location_0005,Bolivia,-12.1665,-65.9575,177,Feb,1985,50741,60000,0.846,18,105,0.54,312,Permanent,Floodplain_Forest,Forest,No,Yes,No,No,No,Aquatic_Plants_Only
6,Amazon_Mainstem,Location_0006,Brazil,-2.3929,-69.7938,172,Jul,1983,6037,50000,0.121,2,53,8.97,69,Occasional,Marsh,Sedges,No,No,Marginal,Marginal,Yes,Moderately_Tolerant_Species
7,Amazon_Mainstem,Location_0007,Brazil,-4.1362,-67.9008,189,Nov,1985,26161,50000,0.523,22,146,3.38,199,Annual,Riparian,Aquatic,Yes,No,Yes,No,Marginal,Aquatic_Plants_Only
8,Amazon_Mainstem,Location_0008,Brazil,-1.9886,-69.766,108,Nov,1980,28738,50000,0.575,20,106,9.61,211,Annual,Swamp,Palm_Swamp,Yes,No,Yes,No,Marginal,Aquatic_Plants_Only
9,Llanos_de_Mojos,Location_0009,Bolivia,-13.4343,-63.8608,140,Sep,1982,10347,60000,0.172,4,18,3.1,20,Occasional,Marsh,Grassland,No,No,Marginal,Marginal,Yes,Moderately_Tolerant_Species
10,Llanos_de_Mojos,Location_0010,Bolivia,-13.3518,-63.5461,74,Mar,1984,48077,60000,0.801,25,241,1.68,287,Permanent,Swamp,Aquatic,No,Yes,No,No,No,Aquatic_Plants_Only
11,Roraima,Location_0011,Brazil,3.3981,-61.174,152,Jan,1987,2037,5000,0.407,18,89,6.94,350,Frequent,Riparian,Sedges,Yes,No,Yes,Yes,Yes,Flood_Tolerant_Species
12,Amazon_Mainstem,Location_0012,Brazil,-4.3954,-63.7082,76,Mar,1986,32429,50000,0.649,20,222,5.17,387,Annual,Open_Water,Palm_Swamp,Yes,No,No,No,No,Aquatic_Plants_Only
13,Pantanal,Location_0013,Brazil,-18.1488,-55.8459,203,Sep,1980,20126,140000,0.144,1,38,0.87,40,Occasional,Riparian,Aquatic,No,No,Marginal,Marginal,Yes,Moderately_Tolerant_Species
14,Llanos_Orinoco,Location_0014,Venezuela,7.732,-66.2701,140,Jan,1985,13464,40000,0.337,15,107,2.96,389,Frequent,Swamp,Aquatic,Yes,No,Yes,Marginal,Marginal,Flood_Tolerant_Species
15,Llanos_Orinoco,Location_0015,Venezuela,6.1163,-69.9884,167,Jan,1983,12121,40000,0.303,22,94,5.55,231,Frequent,Floodplain_Forest,Grassland,Yes,No,Yes,Yes,Yes,Flood_Tolerant_Species
16,Roraima,Location_0016,Brazil,2.3155,-59.0142,234,May,1987,1757,5000,0.351,28,144,2.18,173,Frequent,Floodplain_Forest,Palm_Swamp,Yes,No,Yes,Marginal,Marginal,Flood_Tolerant_Species
17,Pantanal,Location_0017,Brazil,-19.4957,-57.1144,123,May,1984,123148,140000,0.88,21,282,9.4,209,Permanent,Floodplain_Forest,Forest,No,Yes,No,No,No,Aquatic_Plants_Only
18,Pantanal,Location_0018,Brazil,-16.1177,-57.6963,73,Jun,1979,16994,140000,0.121,8,43,4.87,69,Occasional,Riparian,Forest,No,No,Marginal,Marginal,Yes,Moderately_Tolerant_Species
19,Llanos_Orinoco,Location_0019,Venezuela,7.1365,-67.8239,156,Aug,1982,5171,40000,0.129,0,13,3.82,59,Occasional,Floodplain_Forest,Forest,No,No,Marginal,Marginal,Yes,Moderately_Tolerant_Species
20,Pantanal,Location_0020,Brazil,-18.4915,-57.1136,250,Nov,1983,70399,140000,0.503,30,150,5.37,311,Annual,Savanna,Grassland,Yes,No,Yes,No,No,Aquatic_Plants_Only
21,Roraima,Location_0021,Brazil,3.1417,-59.9169,234,Feb,1985,2384,5000,0.477,23,98,2.62,341,Frequent,Open_Water,Mixed,Yes,No,Yes,Yes,Yes,Flood_Tolerant_Species
