record_id,plant_type,soil_ph,soil_nitrogen_ppm,soil_phosphorus_ppm,soil_potassium_ppm,soil_moisture_percent,soil_organic_carbon_percent,soil_temperature_celsius,air_temperature_celsius,topsoil_depth_cm,slope_degrees,elevation_meters,erosion_level,sunlight_hours,rainfall_mm,drainage_quality,soil_texture,compaction_level,previous_crop,days_since_last_crop,fertilizer_applied,will_thrive,growth_rate_percent,yield_quality
1,Sunflower,5.91,53,74,112,82,0.8,29.3,-1.2,127,41,1241,Low,17.6,293,Good,Silty,None,Vegetable,351,No,Yes,71,Good
2,Oak_Tree,5.74,5,36,46,12,11.01,35.7,-5.2,110,20,1854,Severe,15.8,43,Excellent,Clay,Low,Fallow,80,Yes,No,35,Poor
3,Wheat,8.28,22,7,66,2,1.11,26.8,-4.7,113,31,1030,High,15.7,37,Good,Sandy_Loam,None,Wheat,337,Yes,No,11,Very_Poor
4,Wheat,8.73,38,81,86,45,11.88,34.5,23.9,147,12,540,Severe,6.7,72,Excellent,Silty,Moderate,Wheat,343,No,No,56,Fair
5,Potato,4.69,136,10,60,81,8.3,34.5,24.4,45,39,2336,None,16.1,246,Moderate,Loamy,High,Fallow,318,No,Yes,71,Good
6,Soybean,5.34,105,58,51,11,2.76,36.0,13.1,38,26,677,Low,17.1,151,Poor,Sandy,Moderate,Corn,97,No,No,40,Fair
7,Sunflower,6.65,27,76,4,97,4.58,29.3,-5.7,76,20,1367,High,13.3,49,Moderate,Silty,Moderate,Corn,273,Yes,No,54,Fair
8,Corn,6.75,148,63,95,71,13.91,6.8,43.6,78,39,2702,Low,3.4,188,Moderate,Sandy_Loam,None,Fallow,110,No,Yes,70,Good
9,Lettuce,4.5,113,33,67,97,7.67,34.4,17.7,16,39,565,High,9.1,206,Excellent,Sandy_Loam,Moderate,Fallow,67,No,No,55,Fair
10,Pine_Tree,7.24,49,70,99,94,4.57,22.4,42.3,67,9,602,None,12.7,270,Good,Sandy,Moderate,Corn,145,Yes,Yes,68,Good
11,Strawberry,7.12,125,24,40,67,6.41,44.5,-5.1,36,37,267,Severe,16.9,92,Good,Sandy_Loam,None,Wheat,299,No,No,39,Poor
12,Lettuce,7.28,86,36,93,49,7.31,27.9,43.7,27,32,1962,Moderate,6.9,197,Good,Clay,Moderate,Corn,14,Yes,No,33,Poor
