record_id,region,location_name,latitude,longitude,month,year,habitat_class,flooded_area_km2,water_depth_cm,inundation_duration_days,vegetation_type,canopy_cover_percent,floating_vegetation_present,substrate_type,water_flow_rate,nutrient_level,suitable_for_aquatic_plants,suitable_for_flood_forest_trees,suitable_for_macrophytes,suitable_for_rice_cultivation,habitat_productivity_index
1,Amazon_Mainstem_East,Site_0001,-7.0344,-54.4592,Jul,1989,Flooded_Forest,68401,261,7,Flooded_Trees,84,Yes,Clay,Stagnant,High,No,Yes,No,No,95
2,Amazon_Mainstem_East,Site_0002,-5.5264,-56.8858,Jan,1993,Macrophyte,54818,147,27,Aquatic_Grasses,84,Yes,Sand,Stagnant,High,Yes,Marginal,Yes,Yes,95
3,Amazon_Mainstem,Site_0003,-1.8382,-64.2355,Aug,1996,Open_Water,37807,490,30,None,0,No,Mixed,Moderate,Low,Yes,No,No,No,55
4,Amazon_Central,Site_0004,-6.4811,-54.8695,Jan,1989,Flooded_Forest,90785,517,26,Flooded_Trees,75,Yes,Mud,Slow,Very_High,No,Yes,No,No,70
5,Amazon_Central,Site_0005,-5.2373,-63.4551,Jul,1991,Open_Water,27955,408,30,None,0,No,Organic_Matter,Moderate,Low,Yes,No,No,No,65
6,Amazon_Mainstem_West,Site_0006,-7.3743,-60.2576,Oct,1989,Open_Water,33552,362,30,None,0,No,Clay,Moderate,Low,Yes,No,No,No,55
7,Amazon_Mainstem_West,Site_0007,-7.9221,-71.8934,Jul,1992,Flooded_Forest,65001,471,7,Flooded_Shrubs,89,Yes,Mud,Stagnant,High,No,Yes,No,No,80
8,Amazon_Mainstem,Site_0008,-3.0456,-67.8829,Sep,1984,River_Channel,4938,643,30,None,0,No,Clay,Fast,Moderate,Yes,No,No,No,25
9,Amazon_Mainstem_East,Site_0009,-0.3271,-67.2035,Jun,1986,River_Channel,4031,902,30,None,0,No,Mud,Moderate,Moderate,Yes,No,No,No,40
10,Amazon_Mainstem,Site_0010,-3.6757,-58.0089,Oct,1988,Flooded_Forest,30221,526,15,Flooded_Trees,95,Yes,Mixed,Stagnant,Very_High,No,Yes,No,No,65
11,Amazon_Central,Site_0011,-1.8802,-67.6511,Aug,1986,Open_Water,37440,591,30,None,0,No,Clay,Slow,Moderate,Yes,No,No,No,40
12,Amazon_Mainstem,Site_0012,-6.4601,-70.7028,Sep,1983,Open_Water,25474,723,30,None,0,No,Mud,Slow,Low,Yes,No,No,No,40
13,Amazon_Mainstem_West,Site_0013,-0.539,-64.9192,Oct,1988,Open_Water,26156,622,30,None,0,No,Clay,Slow,Moderate,Yes,No,No,No,40
14,Amazon_Mainstem_East,Site_0014,-2.1478,-60.7811,Aug,1995,Open_Water,30809,282,30,None,0,No,Mixed,Moderate,Moderate,Yes,No,No,No,70
15,Amazon_Central,Site_0015,-0.2223,-65.3974,Feb,1990,River_Channel,4687,856,30,None,0,No,Sand,Fast,Low,Yes,No,No,No,25
16,Amazon_Mainstem_East,Site_0016,-6.0745,-67.5629,Jan,1991,Open_Water,39128,350,30,None,0,No,Mud,Slow,Moderate,Yes,No,No,No,55
17,Amazon_Mainstem_West,Site_0017,-5.727,-69.3626,Jan,1991,Macrophyte,63745,59,26,Aquatic_Grasses,43,Yes,Organic_Matter,Stagnant,Moderate,Yes,Marginal,Yes,Yes,70
18,Amazon_Mainstem_East,Site_0018,-1.6441,-63.9317,Oct,1988,Macrophyte,50145,78,9,Aquatic_Grasses,57,Yes,Clay,Stagnant,High,No,Marginal,Yes,Yes,80
19,Amazon_Mainstem,Site_0019,-6.3241,-62.2789,Dec,1986,Open_Water,33928,658,30,None,0,No,Mud,Slow,Moderate,Yes,No,No,No,40
20,Amazon_Mainstem_East,Site_0020,-5.7558,-56.711,May,1986,Flooded_Forest,164737,360,28,Flooded_Trees,85,No,Organic_Matter,Slow,High,No,Yes,No,No,95
21,Amazon_Central,Site_0021,-0.9563,-57.4869,Jul,1983,Macrophyte,29146,143,20,Floating_Macrophytes,60,Yes,Clay,Stagnant,Moderate,Yes,Marginal,Yes,Yes,75
22,Amazon_Central,Site_0022,-1.428,-57.3714,May,1981,Open_Water,56907,691,30,None,0,No,Clay,Slow,Moderate,Yes,No,No,No,40
23,Amazon_Mainstem,Site_0023,-4.4437,-64.2896,Dec,1986,River_Channel,5166,880,30,None,0,No,Organic_Matter,Fast,Moderate,Yes,No,No,No,35
24,Amazon_Mainstem_East,Site_0024,-0.4649,-68.1912,Apr,1979,River_Channel,4059,566,30,None,0,No,Mixed,Fast,Moderate,Yes,No,No,No,25
25,Amazon_Central,Site_0025,-0.9058,-62.8362,Jul,1982,River_Channel,4104,1364,30,None,0,No,Organic_Matter,Moderate,Moderate,Yes,No,No,No,50
26,Amazon_Mainstem_East,Site_0026,-0.88,-67.915,Aug,1980,Flooded_Forest,48651,539,8,Flooded_Shrubs,85,Yes,Sand,Slow,High,No,Yes,No,No,70
27,Amazon_Central,Site_0027,-6.6236,-59.8646,Feb,1985,Open_Water,50921,671,30,None,0,No,Sand,Slow,Low,Yes,No,No,No,40
28,Amazon_Mainstem_East,Site_0028,-0.8519,-58.62,May,1989,River_Channel,4742,673,30,None,0,No,Mixed,Moderate,Moderate,Yes,No,No,No,40
29,Amazon_Mainstem,Site_0029,-3.1375,-70.8231,Mar,1982,Macrophyte,56798,222,28,Floating_Macrophytes,42,Yes,Clay,Slow,High,Yes,No,Yes,No,100
30,Amazon_Central,Site_0030,-6.0905,-60.0587,Jan,1986,Flooded_Forest,160881,160,27,Flooded_Shrubs,64,Yes,Sand,Stagnant,High,No,Yes,Marginal,No,95
31,Amazon_Mainstem_West,Site_0031,-3.4601,-60.866,May,1984,Macrophyte,60132,56,30,Aquatic_Grasses,64,Yes,Mud,Stagnant,High,Yes,Marginal,Yes,Yes,80
32,Amazon_Mainstem,Site_0032,-4.1091,-69.0032,Apr,1981,Macrophyte,62017,135,27,Emergent_Vegetation,54,Yes,Organic_Matter,Slow,High,Yes,Marginal,Yes,Yes,100
33,Amazon_Mainstem,Site_0033,-6.8558,-57.9399,Sep,1984,Open_Water,33326,700,30,None,0,No,Mud,Slow,Moderate,Yes,No,No,No,40
34,Amazon_Central,Site_0034,-4.2631,-67.8168,Oct,1989,Macrophyte,49704,234,20,Floating_Macrophytes,51,Yes,Organic_Matter,Stagnant,Moderate,Yes,No,Yes,No,85
35,Amazon_Mainstem_West,Site_0035,-4.2825,-60.8116,Nov,1992,Open_Water,33360,776,30,None,0,No,Organic_Matter,Moderate,Low,Yes,No,No,No,50
36,Amazon_Mainstem_West,Site_0036,-2.3768,-65.6078,May,1983,Macrophyte,47741,86,28,Floating_Macrophytes,69,Yes,Organic_Matter,Stagnant,Moderate,Yes,Marginal,Yes,Yes,70
37,Amazon_Mainstem_East,Site_0037,-1.6325,-69.8221,Apr,1995,Macrophyte,65974,68,20,Emergent_Vegetation,72,Yes,Sand,Slow,Moderate,Yes,Marginal,Yes,Yes,65
38,Amazon_Mainstem,Site_0038,-2.1513,-67.5146,Aug,1983,River_Channel,5228,485,30,None,0,No,Mud,Moderate,Moderate,Yes,No,No,No,55
39,Amazon_Mainstem_East,Site_0039,-7.2495,-70.6915,Nov,1986,Macrophyte,56334,77,8,Floating_Macrophytes,61,Yes,Mixed,Stagnant,High,No,Marginal,Yes,Yes,80
40,Amazon_Mainstem_East,Site_0040,-3.5381,-61.6876,Jun,1995,Open_Water,45159,776,30,None,0,No,Mixed,Moderate,Moderate,Yes,No,No,No,40
41,Amazon_Mainstem,Site_0041,-7.6215,-58.8413,Oct,1981,Open_Water,24848,602,30,None,0,No,Mixed,Slow,Low,Yes,No,No,No,40
42,Amazon_Mainstem_East,Site_0042,-6.64,-56.9347,Oct,1982,Flooded_Forest,88981,460,7,Flooded_Trees,63,No,Clay,Stagnant,High,No,Yes,Marginal,No,80
43,Amazon_Central,Site_0043,-4.8244,-65.3577,Apr,1982,River_Channel,4224,1264,30,None,0,No,Mud,Fast,Moderate,Yes,No,No,No,25
44,Amazon_Mainstem_West,Site_0044,-3.6615,-54.3526,Oct,1993,Macrophyte,34254,250,14,Floating_Macrophytes,86,Yes,Organic_Matter,Slow,Moderate,No,No,Yes,No,90
45,Amazon_Mainstem,Site_0045,-7.0679,-64.9939,Nov,1979,River_Channel,4938,463,30,None,0,No,Clay,Fast,Low,Yes,No,No,No,40
46,Amazon_Mainstem,Site_0046,-2.2239,-63.0137,Jun,1988,River_Channel,5794,452,30,None,0,No,Mud,Fast,Low,Yes,No,No,No,40
47,Amazon_Mainstem,Site_0047,-6.0156,-71.0633,Oct,1990,Open_Water,32760,667,30,None,0,No,Clay,Moderate,Moderate,Yes,No,No,No,40
48,Amazon_Mainstem_West,Site_0048,-6.1069,-55.4699,Jul,1979,River_Channel,4307,1339,30,None,0,No,Sand,Fast,Moderate,Yes,No,No,No,25
49,Amazon_Mainstem_West,Site_0049,-2.6201,-70.0996,Jun,1993,Open_Water,52101,302,30,None,0,No,Clay,Moderate,Low,Yes,No,No,No,55
50,Amazon_Mainstem,Site_0050,-5.5577,-64.175,May,1984,Open_Water,36228,621,30,None,0,No,Organic_Matter,Slow,Low,Yes,No,No,No,50
