MapDate,AreaOfInterest,None,D0,D1,D2,D3,D4,ValidStart,ValidEnd,StatisticFormatID
20250930,CONUS,30.21,69.79,42.98,23.33,5.56,0.30,2025-09-30,2025-10-06,1
20250923,CONUS,32.18,67.82,43.41,23.25,6.04,0.31,2025-09-23,2025-09-29,1
20250916,CONUS,33.63,66.37,40.81,23.07,6.02,0.29,2025-09-16,2025-09-22,1
20250909,CONUS,39.71,60.29,35.90,21.31,6.24,0.32,2025-09-09,2025-09-15,1
20250902,CONUS,42.38,57.62,34.72,20.85,6.88,0.32,2025-09-02,2025-09-08,1
20250826,CONUS,48.29,51.71,33.01,20.03,7.12,0.55,2025-08-26,2025-09-01,1
20250819,CONUS,49.37,50.63,31.92,19.68,6.69,0.58,2025-08-19,2025-08-25,1
20250812,CONUS,50.96,49.04,29.87,18.14,5.95,0.60,2025-08-12,2025-08-18,1
20250805,CONUS,55.44,44.56,29.85,17.95,5.93,0.38,2025-08-05,2025-08-11,1
20250729,CONUS,54.52,45.48,31.02,18.07,5.73,0.43,2025-07-29,2025-08-04,1
20250722,CONUS,54.35,45.65,31.38,17.36,5.43,0.38,2025-07-22,2025-07-28,1
20250715,CONUS,53.32,46.68,31.41,17.69,5.84,0.74,2025-07-15,2025-07-21,1
20250708,CONUS,51.92,48.08,31.07,15.96,5.64,0.75,2025-07-08,2025-07-14,1
20250701,CONUS,51.33,48.67,32.39,15.99,5.91,0.90,2025-07-01,2025-07-07,1
20250624,CONUS,50.69,49.31,30.66,15.35,5.76,1.24,2025-06-24,2025-06-30,1
20250617,CONUS,53.63,46.37,30.03,14.76,5.75,1.24,2025-06-17,2025-06-23,1
20250610,CONUS,52.30,47.70,29.91,15.07,6.15,1.32,2025-06-10,2025-06-16,1
20250603,CONUS,50.09,49.91,29.58,16.13,7.05,1.55,2025-06-03,2025-06-09,1
20250527,CONUS,49.30,50.70,31.05,17.35,8.21,1.92,2025-05-27,2025-06-02,1
20250520,CONUS,47.74,52.26,31.65,17.67,8.48,1.96,2025-05-20,2025-05-26,1
20250513,CONUS,44.97,55.03,33.24,18.22,8.59,1.87,2025-05-13,2025-05-19,1
20250506,CONUS,44.37,55.63,35.28,18.67,9.30,1.81,2025-05-06,2025-05-12,1
20250429,CONUS,43.92,56.08,36.99,19.54,9.37,2.07,2025-04-29,2025-05-05,1
20250422,CONUS,41.48,58.52,39.23,20.68,9.00,2.22,2025-04-22,2025-04-28,1
20250415,CONUS,41.70,58.30,38.81,19.88,8.51,2.22,2025-04-15,2025-04-21,1
20250408,CONUS,41.80,58.20,38.47,19.59,8.42,1.69,2025-04-08,2025-04-14,1
20250401,CONUS,33.78,66.22,43.37,21.22,8.28,1.69,2025-04-01,2025-04-07,1
20250325,CONUS,32.96,67.04,44.68,21.11,8.33,1.69,2025-03-25,2025-03-31,1
20250318,CONUS,33.23,66.77,44.27,20.07,7.82,1.62,2025-03-18,2025-03-24,1
20250311,CONUS,33.46,66.54,43.59,18.98,7.47,1.17,2025-03-11,2025-03-17,1
20250304,CONUS,32.94,67.06,44.41,18.82,7.19,1.06,2025-03-04,2025-03-10,1
20250225,CONUS,33.64,66.36,41.68,17.44,7.13,0.66,2025-02-25,2025-03-03,1
20250218,CONUS,32.60,67.40,39.97,17.38,7.14,0.66,2025-02-18,2025-02-24,1
20250211,CONUS,28.95,71.05,43.63,18.58,7.35,0.66,2025-02-11,2025-02-17,1
